"TypeNatureCode_ID","Description","ID_911","Category","NEMSIS"
1,"ABDOMINAL/1ST RESP                                ","AB3     ",3,"400 "
2,"ABDOMINAL/FIRE ONLY                               ","AB9     ",3,"400 "
3,"NON INJURY ACCIDENT                               ","ACCNON  ",6,"-25 "
4,"UNK INJ ACCIDENT                                  ","ACCUNK  ",3,"-10 "
6,"APARTMENT/MULT DWELLING FIRE                      ","AFIRE   ",1,"-25 "
7,"AIRCRAFT EMERGENCY                                ","AIR     ",1,"-25 "
8,"ALLERGIES/1ST RESP                                ","AL3     ",3,"405 "
9,"ALLERGIES/FIRE ONLY                               ","AL9     ",3,"405 "
10,"ALI TEST                                          ","ALI     ",13,"-25 "
11,"AUDIBLE FIRE ALARM                                ","ALMAUD  ",7,"-25 "
12,"AUTOMATIC FIRE ALARM-COMM                         ","ALMCOM  ",7,"-25 "
13,"AUTOMATIC FIRE ALARM-RES                          ","ALMRES  ",7,"-25 "
14,"ANIMAL BITES/1ST RESP                             ","AN1     ",3,"410 "
15,"ANIMAL BITES/1ST RESP                             ","AN3     ",3,"410 "
16,"ANIMAL BITES/FIRE ONLY                            ","AN9     ",3,"410 "
17,"ANIMAL RESCUE                                     ","ANRESC  ",5,"-25 "
18,"AVAIL OUT OF DISTRICT                             ","AOD     ",14,"-25 "
19,"APPLIANCE/EQUIP FIRE                              ","APPLI   ",1,"-25 "
20,"ASSAULT/1ST RESP                                  ","AS1     ",3,"415 "
21,"ASSAULT/1ST RESP                                  ","AS3     ",3,"415 "
22,"ASSAULT/FIRE ONLY                                 ","AS9     ",3,"415 "
23,"BEHAVIOR PROBLEM/1ST RESP                         ","BE3     ",3,"520 "
24,"BACK PAIN/1ST RESP                                ","BK3     ",3,"420 "
25,"BACK PAIN/FIRE ONLY                               ","BK9     ",3,"420 "
26,"BLEEDING/1ST RESP                                 ","BL3     ",3,"500 "
27,"BLEEDING/FIRE ONLY                                ","BL9     ",3,"500 "
28,"BOAT FIRE                                         ","BOAT    ",1,"-25 "
29,"BOMB DISCOVERED/THREAT                            ","BOMB    ",4,"-25 "
30,"BREATHING/1ST RESP                                ","BR1     ",3,"425 "
31,"BREATHING/1ST RESP                                ","BR3     ",3,"425 "
32,"BREATHING/FIRE ONLY                               ","BR9     ",3,"425 "
33,"BRUSH FIRE (UP TO 100'X100')                      ","BRUSH   ",1,"-25 "
34,"BURNS/1ST RESP                                    ","BU3     ",3,"430 "
35,"BURNS/FIRE ONLY                                   ","BU9     ",3,"430 "
36,"CARBON MONOXIDE ALARM                             ","CARBON  ",4,"-25 "
37,"BLDG/TRENCH/NATURAL DISASTER                      ","CAVEIN  ",10,"505 "
38,"COMMERCIAL FIRE                                   ","CFIRE   ",1,"-25 "
39,"CHEST PAIN/1ST RESP                               ","CH1     ",3,"445 "
40,"CHEST PAIN/FIRE 1ST                               ","CH3     ",3,"445 "
41,"CHEST PAIN/FIRE ONLY                              ","CH9     ",3,"445 "
42,"CHIMNEY/FIREPLACE/WOODSTOVE                       ","CHIM    ",1,"-25 "
43,"CHIMNEY/FIREPLACE/WOODSTOVE                       ","CHIMNY  ",1,"-25 "
44,"COLD FIRE                                         ","COLD    ",1,"-25 "
45,"CONFINED SPACE RESCUE                             ","CONFSP  ",10,"505 "
46,"DEMO                                              ","DEMO    ",11,"-25 "
47,"DIABETIC/1ST RESP                                 ","DI3     ",3,"460 "
48,"DIABETIC/FIRE ONLY                                ","DI9     ",3,"460 "
49,"DROWNING/1ST RESP                                 ","DR1     ",3,"465 "
50,"DROWNING/ANY RIVER INCIDENT                       ","DR1R    ",3,"465 "
51,"DROWNING/1ST RESP                                 ","DR3     ",3,"465 "
52,"DROWNING/FIRE ONLY                                ","DR9     ",3,"465 "
53,"FIRE DRILL                                        ","DRILL   ",11,"-25 "
54,"FIRE DRILL                                        ","DRILLA  ",11,"-25 "
55,"DUMPSTER/GARBAGE CAN/TRASH                        ","DUMP    ",1,"-25 "
56,"ELECTROCUTION/1ST RESP                            ","EL1     ",3,"470 "
57,"ELECTROCUTION/1ST RESP                            ","EL3     ",3,"470 "
58,"ELECTROCUTION/FIRE ONLY                           ","EL9     ",3,"470 "
59,"ELECTRICAL PROBLEM                                ","ELEC    ",1,"-25 "
60,"ELEVATOR RESCUE                                   ","ELEV    ",10,"505 "
61,"EXPLOSION                                         ","EXPL    ",2,"-25 "
62,"EXPLOSION                                         ","EXPLO   ",2,"-25 "
63,"EXTRICATION RESCUE                                ","EXTRI   ",10,"505 "
64,"EXTRICATION RESCUE                                ","EXTRIC  ",10,"505 "
65,"EYE/1ST RESP                                      ","EY3     ",3,"475 "
66,"EYE/FIRE ONLY                                     ","EY9     ",3,"475 "
67,"FALLS/1ST RESP                                    ","FA1     ",3,"480 "
68,"FALLS/1ST RESP                                    ","FA3     ",3,"480 "
69,"FALLS/FIRE ONLY                                   ","FA9     ",3,"480 "
70,"FIRE DRILL                                        ","FDRILL  ",11,"-25 "
71,"TEST CODE                                         ","FTEST   ",13,"-25 "
72,"FURNACE PROBLEM                                   ","FURN    ",1,"-25 "
73,"NATURAL GAS-ODOR/INVESTIGATION                    ","GASINV  ",4,"-25 "
74,"NATURAL GAS FIRE-MAJOR LEAK                       ","GASMAJ  ",4,"-25 "
75,"NATURAL GAS-MINOR ODOR/LEAK                       ","GASMIN  ",4,"-25 "
76,"GRASS/BARKDUST/TREE FIRE                          ","GRASS   ",1,"-25 "
77,"GREASE ON STOVE/RNGE/OVEN FIRE                    ","GREASE  ",1,"-25 "
78,"HEAT-COLD/1ST RESP                                ","HC1     ",3,"495 "
79,"HEAT-COLD/1ST RESP                                ","HC3     ",3,"495 "
80,"HEAT-COLD/FIRE ONLY                               ","HC9     ",3,"495 "
81,"HEADACHE/1ST RESP                                 ","HE3     ",3,"485 "
82,"HEADACHE/FIRE ONLY                                ","HE9     ",3,"485 "
83,"HAZMAT/1ST RESP                                   ","HM1     ",4,"435 "
84,"HAZMAT/FIRE ONLY                                  ","HM9     ",4,"435 "
85,"HAZMAT LEVEL 2-UP TO 2 VICTIMS                    ","HMII    ",4,"435 "
86,"HAZ MAT LEVEL 3- 3+ VICTIMS                       ","HMIII   ",4,"435 "
87,"HAZ MAT LEVEL 1 (NO FIRE/INJ)                     ","HMINV   ",4,"435 "
88,"HAZ MAT MAJOR SPILL/RELEASE                       ","HMMAJ   ",4,"435 "
89,"HAZ MAT MINOR SPILL/RELEASE                       ","HMMIN   ",4,"435 "
90,"HOSE TEST                                         ","HOSET   ",13,"-25 "
91,"ILLEGAL BURN                                      ","ILBURN  ",5,"-25 "
92,"ILLEGAL BURN                                      ","ILLEGL  ",5,"-25 "
93,"INHALATION/1ST RESP                               ","IN1     ",3,"425 "
94,"INHALATION/FIRE ONLY                              ","IN9     ",3,"425 "
95,"FIRE INFORMATION                                  ","INFOF   ",14,"-25 "
96,"FIRE INVESTIGATION                                ","INVEST  ",9,"-25 "
97,"LOCK-IN/LOCK-OUT                                  ","LOCK    ",5,"-25 "
98,"MAIL BOX FIRE                                     ","MAILBX  ",1,"-25 "
99,"MASS CASUALTY INCIDENT                            ","MCI     ",3,"565 "
100,"MISCELLANEOUS FIRE                                ","MISCF   ",1,"-25 "
101,"MULTIPLE PATIENT SCENE                            ","MPS     ",3,"565 "
102,"MUTUAL AID ENGINE                                 ","MUTENG  ",0,"-25 "
103,"MUTUAL AID HAZMAT                                 ","MUTHM   ",0,"435 "
104,"MUTUAL AID INVESTIGATOR                           ","MUTINV  ",0,"-25 "
105,"MUTUAL AID RESCUE                                 ","MUTRES  ",0,"-10 "
106,"MUTUAL AID TRUCK                                  ","MUTTRK  ",0,"-25 "
107,"PREGNANCY/1ST RESP                                ","OB1     ",3,"515 "
108,"PREGNANCY/1ST RESP                                ","OB3     ",3,"515 "
109,"OVERDOSE/1ST RESP                                 ","OD1     ",3,"510 "
110,"OVERDOSE/1ST RESP                                 ","OD3     ",3,"510 "
111,"OVERDOSE/FIRE ONLY                                ","OD9     ",3,"510 "
112,"ODOR/SMELL (NO SMOKE VISIBLE)                     ","ODOR    ",5,"-25 "
113,"OUT OF SERVICE                                    ","OOS     ",12,"-25 "
114,"POLICE REQUEST                                    ","POLREQ  ",5,"-25 "
115,"POWER LINE/POLE DOWN/ARCING                       ","POWER   ",1,"-25 "
116,"PUBLIC ASSIST                                     ","PUBAST  ",5,"-25 "
117,"RAILROAD INCIDENT                                 ","RAIL    ",4,"-25 "
118,"RESD FIRE (HOUSE OR DUPLEX)                       ","RFIRE   ",1,"-25 "
119,"MARINE INCIDENT                                   ","RIVER   ",5,"-25 "
120,"HIGH ANGLE ROPE RESCUE                            ","ROPE    ",10,"-25 "
121,"RURAL STRUC/OUTBUILDING FIRE                      ","RURAL   ",1,"-25 "
122,"SERT                                              ","SERT    ",14,"-25 "
123,"SHED/OUTBUILDING UP TO 15'X15'                    ","SHED    ",1,"-25 "
124,"SHIP FIRE                                         ","SHIP    ",1,"-25 "
125,"SICK/1ST RESP                                     ","SK3     ",3,"525 "
126,"SMOKE IN AREA- OUTSIDE                            ","SMOKEA  ",6,"-25 "
127,"SMOKE INVEST.-STRUCTURE                           ","SMOKES  ",6,"-25 "
128,"FUEL SPILL/LEAK - SMALL                           ","SPILL   ",4,"-25 "
129,"SPRINKLER TEST                                    ","SPR     ",3,"-25 "
130,"STROKE/1ST RESP                                   ","ST3     ",3,"535 "
131,"SUB STATION/ELECT VAULT FIRE                      ","SUBSTA  ",1,"-25 "
132,"SEIZURE/1ST RESP                                  ","SZ3     ",3,"455 "
133,"SEIZURE/FIRE ONLY                                 ","SZ9     ",3,"455 "
134,"TRAFFIC ACC/1ST RESP                              ","TA1     ",3,"540 "
135,"TRAFFIC ACC/PIN IN                                ","TA1P    ",3,"540 "
136,"TRAFFIC ACC/ROLL OVER                             ","TA1R    ",3,"540 "
137,"TRAFFIC ACC/1ST RESP                              ","TA3     ",3,"540 "
138,"TRAF ACC/FIRE ONLY                                ","TA9     ",3,"540 "
139,"TEST CODE                                         ","TEST    ",13,"-25 "
140,"TRAUMA/1ST RESP                                   ","TR1     ",3,"545 "
141,"TRAUMA/1ST RESP                                   ","TR3     ",3,"545 "
142,"TRAUMA/FIRE ONLY                                  ","TR9     ",3,"545 "
143,"TRAINING                                          ","TRAIN   ",11,"-25 "
144,"UNKNOWN/1ST RESP                                  ","UK3     ",3,"-10 "
145,"UNKNOWN/FIRE ONLY                                 ","UK9     ",3,"-10 "
146,"UNCONSCIOUS/1ST RESP                              ","UN1     ",3,"550 "
147,"UNCONSCIOUS/1ST RESP                              ","UN3     ",3,"550 "
148,"UNKNOWN FIRE/PROBLEM                              ","UNKPR   ",1,"-25 "
149,"VEHICLE FIRE                                      ","VEHF    ",1,"-25 "
150,"VEHICLE/TRAILER FIRE                              ","VFIRE   ",1,"-25 "
151,"WASH DOWN                                         ","WASHDN  ",4,"-25 "
152,"WATER PROBLEM                                     ","WATER   ",5,"-25 "
153,"WILDLAND FIRE (OVER 100'X100')                    ","WILDF   ",1,"-25 "
154,"BURNS/CODE 3 EMS ONLY                             ","BU4     ",3,"430 "
155,"SICK/FIRE ONLY                                    ","SK9     ",3,"525 "
156,"UNCONSCIOUS/FIRE ONLY                             ","UN9     ",3,"550 "
157,"SICK/CODE 1 EMS ONLY                              ","SK8     ",3,"525 "
158,"UNCONSCIOUS/CODE 1 EMS ONLY                       ","UN8     ",3,"550 "
159,"OUT OF SERVICE ADMIN                              ","7A      ",12,"-25 "
160,"OUT OF SERVICE, COMPANY CODE 1                    ","7C      ",12,"-25 "
161,"OUT OF SERVICE, EQUIPMENT                         ","7E      ",12,"-25 "
162,"MEAL, AVAILABLE                                   ","7M      ",14,"-25 "
163,"RESERVED                                          ","7O      ",14,"-25 "
164,"OUT OF SERVICE, PERSONNEL                         ","7P      ",12,"-25 "
165,"OUT OF SERVICE, TRAINING                          ","7T      ",12,"-25 "
166,"OUT OF SERVICE, VEHICLE                           ","7V      ",12,"-25 "
167,"ABDOMINAL/NON EMERGENCY                           ","AB0     ",3,"400 "
168,"ABDOMINAL/CODE 3 EMS ONLY                         ","AB4     ",3,"400 "
169,"ABDOMINAL/CODE 1 EMS ONLY                         ","AB8     ",3,"400 "
170,"ABDOMINAL/CHANGE                                  ","ABC     ",15,"400 "
171,"ALLERGIES/NON EMERGENCY                           ","AL0     ",3,"405 "
172,"ALLERGIES/CODE 3 EMS ONLY                         ","AL4     ",3,"405 "
173,"ALLERGIES/CODE 1 EMS ONLY                         ","AL8     ",3,"405 "
174,"ALLERGIES/CHANGE                                  ","ALC     ",15,"405 "
175,"NON PRIORITY AMB REQUEST                          ","AMB     ",3,"560 "
176,"ANIMAL BITES/ALS                                  ","AN0     ",3,"410 "
177,"ANIMAL BITES/CODE 3 EMS ONLY                      ","AN4     ",3,"410 "
178,"ANIMAL BITES/CODE 1 EMS ONLY                      ","AN8     ",3,"410 "
179,"ANIMAL BITES/CHANGE                               ","ANC     ",15,"410 "
180,"ASSAULT/NON EMERGENCY                             ","AS0     ",3,"415 "
181,"ASSAULT/CODE 3 EMS ONLY                           ","AS4     ",3,"415 "
182,"ASSAULT/CODE 1 EMS ONLY                           ","AS8     ",3,"415 "
183,"ASSAULT/CHANGE                                    ","ASC     ",15,"415 "
184,"BEHAVIOR/NON EMERGENCY                            ","BE0     ",3,"520 "
185,"BEHAVIOR/CODE 3 EMS ONLY                          ","BE4     ",3,"520 "
186,"BEHAVIOR/CODE 1 EMS ONLY                          ","BE8     ",3,"520 "
187,"BEHAVIOR PROBLEM/CHANGE                           ","BEC     ",15,"520 "
188,"BACK PAIN/NON EMERGENCY                           ","BK0     ",3,"420 "
189,"BACK PAIN/CODE 3 EMS ONLY                         ","BK4     ",3,"420 "
190,"BACK PAIN/CODE 1 EMS ONLY                         ","BK8     ",3,"420 "
191,"BACK PAIN/CHANGE                                  ","BKC     ",15,"420 "
192,"BLEEDING/NON EMERGENCY                            ","BL0     ",3,"500 "
193,"BLEEDING/CODE 3 EMS ONLY                          ","BL4     ",3,"500 "
194,"BLEEDING/CODE 1 EMS ONLY                          ","BL8     ",3,"500 "
195,"BLEEDING/CHANGE                                   ","BLC     ",15,"500 "
196,"BREATHING/NON EMERGENCY                           ","BR0     ",3,"425 "
197,"BREATHING/CODE 3 EMS ONLY                         ","BR4     ",3,"425 "
198,"BREATHING/CODE 1 EMS ONLY                         ","BR8     ",3,"425 "
199,"BREATHING/CHANGE                                  ","BRC     ",15,"425 "
200,"BURNS/NON EMERGENCY                               ","BU0     ",3,"430 "
201,"BURNS/CODE 1 EMS ONLY                             ","BU8     ",3,"430 "
202,"BURNS/CHANGE                                      ","BUC     ",15,"430 "
203,"CAB REQUEST                                       ","CAB     ",14,"-25 "
204,"CHEST PAIN/NON EMERGENCY                          ","CH0     ",3,"445 "
205,"CHEST PAIN/CODE 3 EMS ONLY                        ","CH4     ",3,"445 "
206,"CHEST PAIN/CODE 1 EMS ONLY                        ","CH8     ",3,"445 "
207,"CHEST PAIN/CHANGE                                 ","CHC     ",15,"445 "
208,"DIABETIC/NON EMERGENCY                            ","DI0     ",3,"460 "
209,"DIABETIC/CODE 3 EMS ONLY                          ","DI4     ",3,"460 "
210,"DIABETIC/CODE 1 EMS ONLY                          ","DI8     ",3,"460 "
211,"DIABETIC/CHANGE                                   ","DIC     ",15,"460 "
212,"DROWNING/NON EMERGENCY                            ","DR0     ",3,"465 "
213,"DROWNING/CODE 3 EMS ONLY                          ","DR4     ",3,"465 "
214,"DROWNING/CODE 1 EMS ONLY                          ","DR8     ",3,"465 "
215,"DROWNING/CHANGE                                   ","DRC     ",15,"465 "
216,"DEMO                                              ","EDEMO   ",11,"-25 "
217,"ELECTROCUTION/NON EMERGENCY                       ","EL0     ",3,"470 "
218,"ELECTROCUTION/CODE 3 EMS ONLY                     ","EL4     ",3,"470 "
219,"ELECTROCUTION/CODE 1 EMS ONLY                     ","EL8     ",3,"470 "
220,"ELECTROCUTION/CHANGE                              ","ELC     ",15,"470 "
221,"EYE/NON EMERGENCY                                 ","EY0     ",3,"475 "
222,"EYE/CODE 3 EMS ONLY                               ","EY4     ",3,"475 "
223,"EYE/CODE 1 EMS ONLY                               ","EY8     ",3,"475 "
224,"EYE/CHANGE                                        ","EYC     ",15,"475 "
225,"FALLS/NON EMERGECNY                               ","FA0     ",3,"480 "
226,"FALLS/CODE 3 EMS ONLY                             ","FA4     ",3,"480 "
227,"FALLS/CODE 1 EMS ONLY                             ","FA8     ",3,"480 "
228,"FALLS/CHANGE                                      ","FAC     ",15,"480 "
229,"HEAT-COLD/NON EMERGENCY                           ","HC0     ",3,"495 "
230,"HEAT-COLD/CODE 3 EMS ONLY                         ","HC4     ",3,"495 "
231,"HEAT-COLD/CODE 1 EMS ONLY                         ","HC8     ",3,"495 "
232,"HEAT-COLD/CHANGE                                  ","HCC     ",15,"495 "
233,"HEADACHE/NON EMERGENCY                            ","HE0     ",3,"485 "
234,"HEADACHE/CODE 3 EMS ONLY                          ","HE4     ",3,"485 "
235,"HEADACHE/CODE 1 EMS ONLY                          ","HE8     ",3,"485 "
236,"HEADACHE/CHANGE                                   ","HEC     ",15,"485 "
237,"HAZMAT/CODE 3 EMS ONLY                            ","HM4     ",3,"435 "
238,"HAZMAT/CODE 1 EMS ONLY                            ","HM8     ",3,"435 "
239,"HAZMAT/CHANGE                                     ","HMC     ",15,"435 "
240,"MAN DOWN/CHANGE                                   ","MNC     ",15,"555 "
241,"PREGNANCY/NON EMERGENCY                           ","OB0     ",3,"515 "
242,"PREGNANCY/CODE 3 EMS ONLY                         ","OB4     ",3,"515 "
